PNUM_PK,PTITLE,VNUM,PDURATE,PTIME,PAGE,P_R_PRICE,PCAST,PAVAIL,PSCHE,PNOTICE,PIMAGE
1,뮤지컬 〈레베카〉 10주년 기념공연 앙코르 - 광주,1,2024.03.23 ~2024.03.24,175분(인터미션 20분 포함),8세이상 관람가능,"VIP석
 170,000원
 R석
 140,000원
 S석
 110,000원
 A석
 80,000원","막심 드 윈터: 류정한, 민영기, 오만석, 테이
 댄버스 부인: 옥주현
 나: 김보경, 이지혜, 이지수
 잭 파벨: 이창용, 임정모
 반 호퍼 부인: 윤사봉, 김지선
 베아트리체: 이은율, 홍기주
 가일스: 제병진
 프랭크 크롤리: 김순택, 고철순
 벤: 이종원
 줄리앙 대령: 김현웅, 최명경",관람 3시간 전까지,"2024년 3월 23일 (토) ~ 3월 24일(일) 오후 2시, 7시","※ 본 공연은 오케스트라 연주가 아닌 MR로 진행됩니다.
 ※ 3월 24일(일) 오후 2시, 7시 2회차 VIP석은 단체판매로 마감되었습니다.
 ※ 무대 사이드 좌석은 무대구조물로 인해 시야방해가 있을 수 있습니다.
 ※ 1층 S석은 공연 중 무대 및 출연배우의 모습이 제한적으로 보이는 좌석으로 위치에 따라 공연 관람하기에 다소 불편을 느낄 수 있으니 예매 시 유의 바랍니다
 
 ※ 순수한 관람 목적의 원활한 예매 진행을 위해서 오픈 후 2주동안 무통장 입금을 제외한 결제수단으로만 예매 가능하오니 이 점 양해 부탁드립니다.
 제한 기간 : 오픈 ~ 2024년 2월 6일(화) 오후 5시",2
2,［2024 Theatre 이문세］ - 광주,1,2024.04.19 ~2024.04.20,120분,만 7세이상,"R석
 160,000원
 S석
 130,000원",이문세,관람 2시간 전까지,"2024년 4월 19일(금) 19시 30분
 2024년 4월 20일(토) 18시","""- 티켓 오픈 후 24시간 동안 1인 2매까지 예매 가능하며, 2024년 1월 11일(목) 오후 2시 이후에는 1인 8매까지 예매 가능합니다. (1인 최대 8매까지 예매 가능)
 - 좌석의 무단 점유를 예방하고 순수한 목적의 원활한 예매를 위하여 2024년 1월 11일(목) 오후 6시까지는 카드 결제만 가능합니다.
 - 2층 앞에 안전 난간이 있으니, 예매 시 참고 바랍니다.",1
3,신바람 삼대 - 광주 공연,2,2024.02.22 ~2024.03.31,90분,중학생이상 관람가,"전석
 40,000원",0,전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지,"화수목금 20시/ 토 15시, 18시 / 일,공휴일(3.1) 16시
 매주 월요일 공연 없음",0,1
4,뮤지컬 〈몬테크리스토〉,3,2023.11.21 ~2024.02.25,170분(인터미션 20분 포함),8세이상 관람가능,"VIP석
 170,000원
 R석
 140,000원
 S석
 110,000원
 A석
 80,000원","에드몬드 단테: 이규형, 서인국, 고은성, 김성철
 메르세데스: 선민, 이지혜, 허혜진
 몬데고: 최민철, 강태을
 빌포트: 김성민, 우재하
 당글라스: 이한밀, 김대호
 파리아 신부: 김용수, 서범석
 루이자: 전수미, 박은미
 알버트: 이주순, 장윤석
 발렌타인: 성민재, 전민지",관람 4시간 전까지,"화,목 7시 30분 / 수,금 2시 30분, 7시 30분 / 토,공휴일 2시, 7시 / 일 3시 ( 월 공연 없음 )
 
 * 2월9일(금), 2월10일(토)은 공연이 없습니다.","* 뮤지컬 <몬테크리스토>는 제작사의 요청으로 예매대기 서비스가 적용되지 않습니다.
 * 매수제한 : 1인 4매 (회차당)",1
5,뮤지컬 〈디어 에반 핸슨〉 (Dear Evan Hansen),3,2024.03.28 ~2024.06.23,160분(인터미션 20분 포함),중학생이상 관람가,"VIP석
 160,000원
 R석
 130,000원
 S석
 100,000원
 A석
 70,000원","에반 핸슨: 김성규, 박강현, 임규형
 하이디 핸슨: 김선영, 신영숙
 코너 머피: 윤승우, 임지섭
 조이 머피: 강지혜, 홍서영
 래리 머피: 장현성, 윤석원
 신시아 머피: 안시하, 한유란
 재러드 클라인: 조용휘, 김강진
 알라나 백: 이다정, 염희진
 스윙: 김강진, 박찬양, 장경원, 임민영",전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지,"화-목 7시 30분 / 금 2시 30분, 7시 30분 / 토,공휴일 2시, 7시 / 일 3시 (월 쉼)
 
 *오프닝위크: 목, 금 7시 30분 / 토,일 2시, 7시",※ 무분별한 예매 방지를 위해 1/25(목) 오후 2시 ~ 1/28(일) 오후 11시 59분까지 전 회차의 무통장 입금 결제가 일시적으로 제한됩니다.,2
6,뮤지컬 드라큘라 (Dracula：The Musical),4,2023.12.06 ~2024.03.03,165분(인터미션 20분 포함),14세 이상 관람가,"VIP석
 170,000원
 R석
 140,000원
 S석
 110,000원
 A석
 80,000원","드라큘라: 김준수, 전동석, 신성록
 미나: 임혜영, 정선아, 아이비
 반헬싱: 손준호, 박은석
 조나단: 진태화, 임준혁
 루시: 이예은, 최서연
 렌필드: 김도현, 김도하
 앙상블: 이승현",관람 5시간 전까지,"화,목,금 7시 30분│수 2시 30분, 7시 30분│토,일,공휴일 2시, 7시│월 공연 없음
 
 - 2월 10일(토) 7시, 2월 13일(화) 7시 30분 공연 없음
 - 2월 9일(금) 2시, 7시, 2월 12일(월) 2시, 3월 1일(금) 2시, 7시 공연 있음
 
 ※ 극장, 공연제작사 및 관계사의 협의에 따라 일부 좌석이 마감되었습니다.
 ※ 회차당 1인 4매 구매 가능합니다.",0,2
7,뮤지컬 〈헤드윅〉,4,2024.03.22 ~2024.06.23,135분,17세 이상 관람가,"VIP석
 150,000원
 R석
 130,000원
 S석
 100,000원
 A석
 80,000원","헤드윅: 조정석, 유연석, 전동석
 이츠학: 장은아, 이예은, 여은",관람 3시간 전까지,"화,수,목,금 7시30분 / 토,일 2시, 6시30분 / 공휴일 3시 (월 공연없음, 일자별 상이)",0,1
